source_text,target_text,source_text_no_stopwords,source_text_stemmed,source_text_lemmatized,target_text_no_stopwords,target_text_stemmed,target_text_lemmatized
i'm really excited about the concert tonight.,i'm hyped for the concert tonight.,i'm really excited concert tonight,i'm realli excit concert tonight,i'm really excited concert tonight,i'm hyped concert tonight,i'm hype concert tonight,i'm hyped concert tonight
"hey, are you coming to the party tonight?","yo, you sliding to the party tonight?",hey coming party tonight,hey come parti tonight,hey coming party tonight,yo sliding party tonight,yo slide parti tonight,yo sliding party tonight
i'm really tired today because i didn't sleep well.,"i'm so drained today, barely slept tbh.",i'm really tired today didn't sleep,i'm realli tire today didn't sleep,i'm really tired today didn't sleep,i'm drained today barely slept tbh,i'm drain today bare slept tbh,i'm drained today barely slept tbh
i'm really excited about the concert this weekend.,i'm super hyped for the concert this weekend.,i'm really excited concert weekend,i'm realli excit concert weekend,i'm really excited concert weekend,i'm super hyped concert weekend,i'm super hype concert weekend,i'm super hyped concert weekend
i'm just hanging out with my friends at the mall.,i'm just chillin' with my friends at the mall.,i'm just hanging friends mall,i'm just hang friend mall,i'm just hanging friend mall,i'm just chillin friends mall,i'm just chillin friend mall,i'm just chillin friend mall
i'm just heading to the store to grab some snacks.,i'm just sliding to the store to cop some snacks.,i'm just heading store grab snacks,i'm just head store grab snack,i'm just heading store grab snack,i'm just sliding store cop snacks,i'm just slide store cop snack,i'm just sliding store cop snack
i'm just going to chill at home and watch some movies.,"i'm just gonna vibing at home, bingeing some flicks.",i'm just going chill home watch movies,i'm just go chill home watch movi,i'm just going chill home watch movie,i'm just gonna vibing home bingeing flicks,i'm just gonna vibe home bing flick,i'm just gonna vibing home bingeing flick
i'm just going to chill at home today.,i'm just vibing at home today.,i'm just going chill home today,i'm just go chill home today,i'm just going chill home today,i'm just vibing home today,i'm just vibe home today,i'm just vibing home today
"i'm really tired today, i think i need some coffee.","i'm dead tired today, need some coffee to stay woke.",i'm really tired today think need coffee,i'm realli tire today think need coffe,i'm really tired today think need coffee,i'm dead tired today need coffee stay woke,i'm dead tire today need coffe stay woke,i'm dead tired today need coffee stay woke
i'm really tired today and just want to relax at home.,i'm super drained today and just wanna chill at home.,i'm really tired today just want relax home,i'm realli tire today just want relax home,i'm really tired today just want relax home,i'm super drained today just wanna chill home,i'm super drain today just wanna chill home,i'm super drained today just wanna chill home
i'm just really tired today and not feeling up to going out.,i'm lowkey drained today and not tryna pop off outside.,i'm just really tired today feeling going,i'm just realli tire today feel go,i'm just really tired today feeling going,i'm lowkey drained today tryna pop outside,i'm lowkey drain today tryna pop outsid,i'm lowkey drained today tryna pop outside
i'm just really tired today because i didn’t sleep well.,i'm hella drained 'cause i didn't catch enough z's.,i'm just really tired today didn t sleep,i'm just realli tire today didn t sleep,i'm just really tired today didn t sleep,i'm hella drained cause didn't catch z's,i'm hella drain caus didn't catch z',i'm hella drained cause didn't catch z's
i'm really tired after a long day at work.,i'm super drained after all that at work today.,i'm really tired long day work,i'm realli tire long day work,i'm really tired long day work,i'm super drained work today,i'm super drain work today,i'm super drained work today
"hey, did you see the new movie that just came out?","yo, did you peep the new flick that dropped?",hey did new movie just came,hey did new movi just came,hey did new movie just came,yo did peep new flick dropped,yo did peep new flick drop,yo did peep new flick dropped
"i'm really tired today, i think i'll just stay home and relax.","i'm super drained today, imma just chill at home and vibe.",i'm really tired today think i'll just stay home relax,i'm realli tire today think i'll just stay home relax,i'm really tired today think i'll just stay home relax,i'm super drained today imma just chill home vibe,i'm super drain today imma just chill home vibe,i'm super drained today imma just chill home vibe
i'm really tired today but i have to go to work.,i'm super exhausted today but i gotta hit up work.,i'm really tired today work,i'm realli tire today work,i'm really tired today work,i'm super exhausted today gotta hit work,i'm super exhaust today gotta hit work,i'm super exhausted today gotta hit work
"hey, how are you doing today?","yo, what’s good? how you vibing today?",hey doing today,hey do today,hey doing today,yo s good vibing today,yo s good vibe today,yo s good vibing today
i'm just hanging out with my friends at the park.,i'm just vibing with my squad at the park.,i'm just hanging friends park,i'm just hang friend park,i'm just hanging friend park,i'm just vibing squad park,i'm just vibe squad park,i'm just vibing squad park
i'm really tired today because i didn't sleep well last night.,i'm mad tired today 'cause i didn't catch enough z's last night.,i'm really tired today didn't sleep night,i'm realli tire today didn't sleep night,i'm really tired today didn't sleep night,i'm mad tired today cause didn't catch z's night,i'm mad tire today caus didn't catch z' night,i'm mad tired today cause didn't catch z's night
i'm feeling really tired today because i didn't get enough sleep.,"i'm mad tired today 'cause i didn't sleep enough, fr.",i'm feeling really tired today didn't sleep,i'm feel realli tire today didn't sleep,i'm feeling really tired today didn't sleep,i'm mad tired today cause didn't sleep fr,i'm mad tire today caus didn't sleep fr,i'm mad tired today cause didn't sleep fr
"i'm really tired today, i think i need a coffee.","i'm so beat today, i need a coffee boost.",i'm really tired today think need coffee,i'm realli tire today think need coffe,i'm really tired today think need coffee,i'm beat today need coffee boost,i'm beat today need coffe boost,i'm beat today need coffee boost
"hey, do you want to grab coffee later?","yo, wanna toss back a coffee later?",hey want grab coffee later,hey want grab coffe later,hey want grab coffee later,yo wanna toss coffee later,yo wanna toss coffe later,yo wanna toss coffee later
it's really nice to see you today.,it's mad chill to catch you today.,it's really nice today,it' realli nice today,it's really nice today,it's mad chill catch today,it' mad chill catch today,it's mad chill catch today
i'm just really tired today but i still have to go to work.,i'm down bad but gotta yeet to work anyway.,i'm just really tired today work,i'm just realli tire today work,i'm just really tired today work,i'm bad gotta yeet work,i'm bad gotta yeet work,i'm bad gotta yeet work
"i'm really tired today, i might just stay home and relax.","i'm so exhausted today, lowkey just tryna chill at home.",i'm really tired today just stay home relax,i'm realli tire today just stay home relax,i'm really tired today just stay home relax,i'm exhausted today lowkey just tryna chill home,i'm exhaust today lowkey just tryna chill home,i'm exhausted today lowkey just tryna chill home
i'm just really tired today because i didn't get enough sleep.,i'm mad tired today ’cause i didn’t catch enough z’s.,i'm just really tired today didn't sleep,i'm just realli tire today didn't sleep,i'm just really tired today didn't sleep,i'm mad tired today cause didn t catch z s,i'm mad tire today caus didn t catch z s,i'm mad tired today cause didn t catch z s
it's really hot outside today.,"yo, it's mad hot out today.",it's really hot outside today,it' realli hot outsid today,it's really hot outside today,yo it's mad hot today,yo it' mad hot today,yo it's mad hot today
i'm feeling really tired after a long day at work.,"i'm totally drained after a long day at work, fr.",i'm feeling really tired long day work,i'm feel realli tire long day work,i'm feeling really tired long day work,i'm totally drained long day work fr,i'm total drain long day work fr,i'm totally drained long day work fr
"it's really hot today, i don't want to go outside.","it's mad hot today, i can't even go outside, fr.",it's really hot today don't want outside,it' realli hot today don't want outsid,it's really hot today don't want outside,it's mad hot today can't outside fr,it' mad hot today can't outsid fr,it's mad hot today can't outside fr
i'm feeling really tired today.,i'm hella drained today.,i'm feeling really tired today,i'm feel realli tire today,i'm feeling really tired today,i'm hella drained today,i'm hella drain today,i'm hella drained today
i'm really tired today but i have to finish my homework.,i'm so drained today but gotta vibe through this homework.,i'm really tired today finish homework,i'm realli tire today finish homework,i'm really tired today finish homework,i'm drained today gotta vibe homework,i'm drain today gotta vibe homework,i'm drained today gotta vibe homework
i'm really tired today because i stayed up late watching movies.,i'm hella exhausted 'cause i was up all night binge-watching movies.,i'm really tired today stayed late watching movies,i'm realli tire today stay late watch movi,i'm really tired today stayed late watching movie,i'm hella exhausted cause night binge watching movies,i'm hella exhaust caus night bing watch movi,i'm hella exhausted cause night binge watching movie
i'm really tired because i didn't get enough sleep last night.,i'm dead tired 'cause i caught no z's last night.,i'm really tired didn't sleep night,i'm realli tire didn't sleep night,i'm really tired didn't sleep night,i'm dead tired cause caught z's night,i'm dead tire caus caught z' night,i'm dead tired cause caught z's night
"i'm really tired today, i think i'll just relax at home.","i'm totally exhausted today, gonna just chill at my place.",i'm really tired today think i'll just relax home,i'm realli tire today think i'll just relax home,i'm really tired today think i'll just relax home,i'm totally exhausted today gonna just chill place,i'm total exhaust today gonna just chill place,i'm totally exhausted today gonna just chill place
"i'm really tired today, i just want to relax.","i'm super wiped today, just tryna chill.",i'm really tired today just want relax,i'm realli tire today just want relax,i'm really tired today just want relax,i'm super wiped today just tryna chill,i'm super wipe today just tryna chill,i'm super wiped today just tryna chill
i'm feeling really tired today.,"i'm so drained today, fr fr.",i'm feeling really tired today,i'm feel realli tire today,i'm feeling really tired today,i'm drained today fr fr,i'm drain today fr fr,i'm drained today fr fr
i'm just relaxing at home after a long day.,chillin' at home after a mad busy day.,i'm just relaxing home long day,i'm just relax home long day,i'm just relaxing home long day,chillin home mad busy day,chillin home mad busi day,chillin home mad busy day
i'm really tired today because i stayed up late last night.,i'm so drained today 'cause i pulled an all-nighter last night.,i'm really tired today stayed late night,i'm realli tire today stay late night,i'm really tired today stayed late night,i'm drained today cause pulled nighter night,i'm drain today caus pull nighter night,i'm drained today cause pulled nighter night
"that movie was really good, i enjoyed it a lot.","that flick was fire, i was vibing with it big time.",movie really good enjoyed lot,movi realli good enjoy lot,movie really good enjoyed lot,flick vibing big time,flick vibe big time,flick vibing big time
"hey, do you want to grab some coffee later?","yo, wanna catch some coffee later?",hey want grab coffee later,hey want grab coffe later,hey want grab coffee later,yo wanna catch coffee later,yo wanna catch coffe later,yo wanna catch coffee later
"hey, did you see that new movie last night? it was really good.","yo, did you peep that lit new flick last night? it was fire.",hey did new movie night really good,hey did new movi night realli good,hey did new movie night really good,yo did peep lit new flick night,yo did peep lit new flick night,yo did peep lit new flick night
i'm just really tired today and need some coffee.,"i'm mad drained today, lowkey need my caffeine fix.",i'm just really tired today need coffee,i'm just realli tire today need coffe,i'm just really tired today need coffee,i'm mad drained today lowkey need caffeine fix,i'm mad drain today lowkey need caffein fix,i'm mad drained today lowkey need caffeine fix
i'm totally exhausted after that long day.,"i'm so drained after such a long day, fr fr.",i'm totally exhausted long day,i'm total exhaust long day,i'm totally exhausted long day,i'm drained long day fr fr,i'm drain long day fr fr,i'm drained long day fr fr
i'm just going to hang out with my friends tonight.,i'm just chillin' with my squad tonight.,i'm just going hang friends tonight,i'm just go hang friend tonight,i'm just going hang friend tonight,i'm just chillin squad tonight,i'm just chillin squad tonight,i'm just chillin squad tonight
i'm really excited for the concert tonight!,i'm super hyped for the concert tonight!,i'm really excited concert tonight,i'm realli excit concert tonight,i'm really excited concert tonight,i'm super hyped concert tonight,i'm super hype concert tonight,i'm super hyped concert tonight
i'm just going to chill at home tonight.,i'm just maxing at home tonight.,i'm just going chill home tonight,i'm just go chill home tonight,i'm just going chill home tonight,i'm just maxing home tonight,i'm just max home tonight,i'm just maxing home tonight
i'm going to grab some coffee. do you want to come?,"i'm finna get some coffee, yolo? do you wanna roll?",i'm going grab coffee want come,i'm go grab coffe want come,i'm going grab coffee want come,i'm finna coffee yolo wanna roll,i'm finna coffe yolo wanna roll,i'm finna coffee yolo wanna roll
"i'm feeling really tired today, i think i need some coffee.","i'm deadass exhausted today, need that caffeine boost real quick.",i'm feeling really tired today think need coffee,i'm feel realli tire today think need coffe,i'm feeling really tired today think need coffee,i'm deadass exhausted today need caffeine boost real quick,i'm deadass exhaust today need caffein boost real quick,i'm deadass exhausted today need caffeine boost real quick
"i'm really tired today, i think i need a nap.","i'm super drained today, i gotta catch some z's.",i'm really tired today think need nap,i'm realli tire today think need nap,i'm really tired today think need nap,i'm super drained today gotta catch z's,i'm super drain today gotta catch z',i'm super drained today gotta catch z's
let's meet up at the cafe later to study.,"yo, let's link at the cafe later to grind on some homework.",let's meet cafe later study,let' meet cafe later studi,let's meet cafe later study,yo let's link cafe later grind homework,yo let' link cafe later grind homework,yo let's link cafe later grind homework
i'm really tired today but i have to finish my homework.,i'm mad exhausted today but gotta grind on my homework.,i'm really tired today finish homework,i'm realli tire today finish homework,i'm really tired today finish homework,i'm mad exhausted today gotta grind homework,i'm mad exhaust today gotta grind homework,i'm mad exhausted today gotta grind homework
"hey, did you see the new movie everyone was talking about?","yo, did u peep the new flick everyone's hyped about?",hey did new movie talking,hey did new movi talk,hey did new movie talking,yo did u peep new flick everyone's hyped,yo did u peep new flick everyone' hype,yo did u peep new flick everyone's hyped
"hey, i'm just relaxing at home after a long day.","yo, just chillin' at home after a long one.",hey i'm just relaxing home long day,hey i'm just relax home long day,hey i'm just relaxing home long day,yo just chillin home long,yo just chillin home long,yo just chillin home long
it's really hot outside today.,"it's mega hot out today, fr fr.",it's really hot outside today,it' realli hot outsid today,it's really hot outside today,it's mega hot today fr fr,it' mega hot today fr fr,it's mega hot today fr fr
i'm just going to grab some coffee before work.,gonna snag some coffee before the grind.,i'm just going grab coffee work,i'm just go grab coffe work,i'm just going grab coffee work,gonna snag coffee grind,gonna snag coffe grind,gonna snag coffee grind
i'm really excited to hang out with my friends this weekend.,i'm super hyped to chill with my crew this weekend.,i'm really excited hang friends weekend,i'm realli excit hang friend weekend,i'm really excited hang friend weekend,i'm super hyped chill crew weekend,i'm super hype chill crew weekend,i'm super hyped chill crew weekend
i'm really tired after working all day.,i'm dead tired after grinding all day.,i'm really tired working day,i'm realli tire work day,i'm really tired working day,i'm dead tired grinding day,i'm dead tire grind day,i'm dead tired grinding day
i'm just really tired today and i don't want to go out.,i'm mad sleepy today and i can't be bothered to step out.,i'm just really tired today don't want,i'm just realli tire today don't want,i'm just really tired today don't want,i'm mad sleepy today can't bothered step,i'm mad sleepi today can't bother step,i'm mad sleepy today can't bothered step
i'm going out with my friends tonight.,chillin' with my squad tonight.,i'm going friends tonight,i'm go friend tonight,i'm going friend tonight,chillin squad tonight,chillin squad tonight,chillin squad tonight
"i'm really tired today, i just want to nap all afternoon.","i'm so drained today, all i wanna do is crash all arvo.",i'm really tired today just want nap afternoon,i'm realli tire today just want nap afternoon,i'm really tired today just want nap afternoon,i'm drained today wanna crash arvo,i'm drain today wanna crash arvo,i'm drained today wanna crash arvo
"hey, do you want to hang out this weekend?","yo, wanna chill this weekend?",hey want hang weekend,hey want hang weekend,hey want hang weekend,yo wanna chill weekend,yo wanna chill weekend,yo wanna chill weekend
i'm really tired because i stayed up late last night.,i'm hella drained 'cause i pulled an all-nighter yesterday.,i'm really tired stayed late night,i'm realli tire stay late night,i'm really tired stayed late night,i'm hella drained cause pulled nighter yesterday,i'm hella drain caus pull nighter yesterday,i'm hella drained cause pulled nighter yesterday
i'm just really tired today and just want to relax at home.,"i'm super drained today, just tryna chill at home.",i'm just really tired today just want relax home,i'm just realli tire today just want relax home,i'm just really tired today just want relax home,i'm super drained today just tryna chill home,i'm super drain today just tryna chill home,i'm super drained today just tryna chill home
i'm really tired today but i still have to finish my homework.,i'm super drained today but i gotta grind and finish my homework.,i'm really tired today finish homework,i'm realli tire today finish homework,i'm really tired today finish homework,i'm super drained today gotta grind finish homework,i'm super drain today gotta grind finish homework,i'm super drained today gotta grind finish homework
"i'm really tired today, i think i'll just stay in and relax.","i'm hella tired today, might just chill at home and vibing.",i'm really tired today think i'll just stay relax,i'm realli tire today think i'll just stay relax,i'm really tired today think i'll just stay relax,i'm hella tired today just chill home vibing,i'm hella tire today just chill home vibe,i'm hella tired today just chill home vibing
i'm just really tired today and don't feel like going out.,i'm mad tired today and not tryna dip out.,i'm just really tired today don't feel like going,i'm just realli tire today don't feel like go,i'm just really tired today don't feel like going,i'm mad tired today tryna dip,i'm mad tire today tryna dip,i'm mad tired today tryna dip
"i'm really tired today, i just want to chill at home.","i'm dead tired today, just wanna veg at home.",i'm really tired today just want chill home,i'm realli tire today just want chill home,i'm really tired today just want chill home,i'm dead tired today just wanna veg home,i'm dead tire today just wanna veg home,i'm dead tired today just wanna veg home
i'm really tired today because i stayed up late studying.,i'm mad tired today 'cause i pulled an all-nighter hitting the books.,i'm really tired today stayed late studying,i'm realli tire today stay late studi,i'm really tired today stayed late studying,i'm mad tired today cause pulled nighter hitting books,i'm mad tire today caus pull nighter hit book,i'm mad tired today cause pulled nighter hitting book
i'm really tired today after a long week.,"i'm so drained after this crazy week, fr.",i'm really tired today long week,i'm realli tire today long week,i'm really tired today long week,i'm drained crazy week fr,i'm drain crazi week fr,i'm drained crazy week fr
"i'm really tired today, i might just relax at home.","i'm hella exhausted today, might just chill at home.",i'm really tired today just relax home,i'm realli tire today just relax home,i'm really tired today just relax home,i'm hella exhausted today just chill home,i'm hella exhaust today just chill home,i'm hella exhausted today just chill home
i'm just going out to grab some coffee with my friends.,"i'm just heading out to vibe with my friends over some coffee, no cap.",i'm just going grab coffee friends,i'm just go grab coffe friend,i'm just going grab coffee friend,i'm just heading vibe friends coffee cap,i'm just head vibe friend coffe cap,i'm just heading vibe friend coffee cap
i'm just going to relax at home tonight and watch some movies.,"i'm just chillin' at home tonight, binge-watching some flicks.",i'm just going relax home tonight watch movies,i'm just go relax home tonight watch movi,i'm just going relax home tonight watch movie,i'm just chillin home tonight binge watching flicks,i'm just chillin home tonight bing watch flick,i'm just chillin home tonight binge watching flick
i'm really tired after working all day and just want to chill with some snacks.,"i'm totally wiped after grinding all day, just wanna kick back with some snacks.",i'm really tired working day just want chill snacks,i'm realli tire work day just want chill snack,i'm really tired working day just want chill snack,i'm totally wiped grinding day just wanna kick snacks,i'm total wipe grind day just wanna kick snack,i'm totally wiped grinding day just wanna kick snack
i'm just relaxing at home and watching some tv.,"i'm chillin' at my place, vibing with some shows.",i'm just relaxing home watching tv,i'm just relax home watch tv,i'm just relaxing home watching tv,i'm chillin place vibing shows,i'm chillin place vibe show,i'm chillin place vibing show
i'm really tired and just want to relax at home today.,"i'm super exhausted and just wanna chill at home today, fr.",i'm really tired just want relax home today,i'm realli tire just want relax home today,i'm really tired just want relax home today,i'm super exhausted just wanna chill home today fr,i'm super exhaust just wanna chill home today fr,i'm super exhausted just wanna chill home today fr
i'm just trying to get through the day without any problems.,i'm just tryna vibing through the day without any drama.,i'm just trying day problems,i'm just tri day problem,i'm just trying day problem,i'm just tryna vibing day drama,i'm just tryna vibe day drama,i'm just tryna vibing day drama
i'm just going to relax and watch a movie tonight.,i'm just chillin' and gonna netflix and chill tonight.,i'm just going relax watch movie tonight,i'm just go relax watch movi tonight,i'm just going relax watch movie tonight,i'm just chillin gonna netflix chill tonight,i'm just chillin gonna netflix chill tonight,i'm just chillin gonna netflix chill tonight
i'm just asking if you want to hang out later.,"yo, you down to chill later or what?",i'm just asking want hang later,i'm just ask want hang later,i'm just asking want hang later,yo chill later,yo chill later,yo chill later
i'm just going to relax at home and watch some movies.,"i'm just chillin' at home and streaming some flicks, fr.",i'm just going relax home watch movies,i'm just go relax home watch movi,i'm just going relax home watch movie,i'm just chillin home streaming flicks fr,i'm just chillin home stream flick fr,i'm just chillin home streaming flick fr
i'm just going to grab some coffee before class.,"i'm finna snag some coffee before lecture, fr.",i'm just going grab coffee class,i'm just go grab coffe class,i'm just going grab coffee class,i'm finna snag coffee lecture fr,i'm finna snag coffe lectur fr,i'm finna snag coffee lecture fr
i'm just hanging out with my friends at the park today.,"chillin' with my crew at the park today, no cap.",i'm just hanging friends park today,i'm just hang friend park today,i'm just hanging friend park today,chillin crew park today cap,chillin crew park today cap,chillin crew park today cap
"hey, are you free to hang out tomorrow?","yo, you down to chill tomorrow?",hey free hang tomorrow,hey free hang tomorrow,hey free hang tomorrow,yo chill tomorrow,yo chill tomorrow,yo chill tomorrow
i'm just going to relax at home and watch some tv tonight.,i'm finna chill at my place and binge some shows tonight.,i'm just going relax home watch tv tonight,i'm just go relax home watch tv tonight,i'm just going relax home watch tv tonight,i'm finna chill place binge shows tonight,i'm finna chill place bing show tonight,i'm finna chill place binge show tonight
i'm just heading to the store to buy some snacks.,"gonna slide to the store to grab some snacks, no cap.",i'm just heading store buy snacks,i'm just head store buy snack,i'm just heading store buy snack,gonna slide store grab snacks cap,gonna slide store grab snack cap,gonna slide store grab snack cap
"hey, do you want to hang out later?","yo, you tryna chill later?",hey want hang later,hey want hang later,hey want hang later,yo tryna chill later,yo tryna chill later,yo tryna chill later
"hey, i just finished my homework and i'm ready to hang out.","yo, just wrapped my homework and i'm all set to chill.",hey just finished homework i'm ready hang,hey just finish homework i'm readi hang,hey just finished homework i'm ready hang,yo just wrapped homework i'm set chill,yo just wrap homework i'm set chill,yo just wrapped homework i'm set chill
"hey, did you see the new movie last night?","yo, did you catch that fresh flick yesterday night?",hey did new movie night,hey did new movi night,hey did new movie night,yo did catch fresh flick yesterday night,yo did catch fresh flick yesterday night,yo did catch fresh flick yesterday night
i’m really tired after a long day at work.,i’m so drained after a long grind today.,m really tired long day work,m realli tire long day work,m really tired long day work,m drained long grind today,m drain long grind today,m drained long grind today
i'm just really tired after a long day at work.,i'm totally drained after a long day at the grind.,i'm just really tired long day work,i'm just realli tire long day work,i'm just really tired long day work,i'm totally drained long day grind,i'm total drain long day grind,i'm totally drained long day grind
i'm just honestly tired after a long day.,"i'm just vibing out tired after a whole day, no cap.",i'm just honestly tired long day,i'm just honestli tire long day,i'm just honestly tired long day,i'm just vibing tired day cap,i'm just vibe tire day cap,i'm just vibing tired day cap
i'm just going to hang out with my friends this weekend.,i'm just chillin' with my crew this weekend.,i'm just going hang friends weekend,i'm just go hang friend weekend,i'm just going hang friend weekend,i'm just chillin crew weekend,i'm just chillin crew weekend,i'm just chillin crew weekend
i'm just going to relax at home and watch some tv.,i'm just chillin' at home and vibing with some netflix.,i'm just going relax home watch tv,i'm just go relax home watch tv,i'm just going relax home watch tv,i'm just chillin home vibing netflix,i'm just chillin home vibe netflix,i'm just chillin home vibing netflix
"hey, do you want to grab a coffee later?","yo, wanna catch a coffee later?",hey want grab coffee later,hey want grab coffe later,hey want grab coffee later,yo wanna catch coffee later,yo wanna catch coffe later,yo wanna catch coffee later
i'm really excited about hanging out with my friends tonight.,i'm so hyped to chill with my peeps tonight!,i'm really excited hanging friends tonight,i'm realli excit hang friend tonight,i'm really excited hanging friend tonight,i'm hyped chill peeps tonight,i'm hype chill peep tonight,i'm hyped chill peep tonight
i'm just going to hang out with my friends at the park today.,i'm just vibing with my squad at the park today.,i'm just going hang friends park today,i'm just go hang friend park today,i'm just going hang friend park today,i'm just vibing squad park today,i'm just vibe squad park today,i'm just vibing squad park today
"hey, do you want to go grab some coffee later?","yo, ya tryna snag some coffee later?",hey want grab coffee later,hey want grab coffe later,hey want grab coffee later,yo ya tryna snag coffee later,yo ya tryna snag coffe later,yo ya tryna snag coffee later
i'm really tired after studying all night.,i'm hella drained 'cause i pulled an all-nighter.,i'm really tired studying night,i'm realli tire studi night,i'm really tired studying night,i'm hella drained cause pulled nighter,i'm hella drain caus pull nighter,i'm hella drained cause pulled nighter
i'm going to grab some lunch with my friends later.,i'm chillin' with my crew for some grub later.,i'm going grab lunch friends later,i'm go grab lunch friend later,i'm going grab lunch friend later,i'm chillin crew grub later,i'm chillin crew grub later,i'm chillin crew grub later
"hey, i just finished my homework and i'm feeling pretty good.","yo, just crushed my homework and i'm vibing pretty hard.",hey just finished homework i'm feeling pretty good,hey just finish homework i'm feel pretti good,hey just finished homework i'm feeling pretty good,yo just crushed homework i'm vibing pretty hard,yo just crush homework i'm vibe pretti hard,yo just crushed homework i'm vibing pretty hard
"hey, do you want to hang out tomorrow?","yo, you down to vibe tomorrow?",hey want hang tomorrow,hey want hang tomorrow,hey want hang tomorrow,yo vibe tomorrow,yo vibe tomorrow,yo vibe tomorrow
"hey, are you free to hang out today?","yo, you free to chill today?",hey free hang today,hey free hang today,hey free hang today,yo free chill today,yo free chill today,yo free chill today
i'm just really tired and need to rest for a bit.,"i'm so drained, i gotta chill for a sec.",i'm just really tired need rest bit,i'm just realli tire need rest bit,i'm just really tired need rest bit,i'm drained gotta chill sec,i'm drain gotta chill sec,i'm drained gotta chill sec
i'm just chilling at home and watching some videos.,"i'm just vibing at home, binge-watching some vids.",i'm just chilling home watching videos,i'm just chill home watch video,i'm just chilling home watching video,i'm just vibing home binge watching vids,i'm just vibe home bing watch vid,i'm just vibing home binge watching vids
